,time,Biomass,Phosphate
205,205.0,0.1370354,-8.118317852351118e-08
206,206.0,0.1370354,-8.118317852351118e-08
207,207.0,0.1370354,-8.118317852351118e-08
208,208.0,0.1370354,-8.118317852351118e-08
209,209.0,0.1370354,-8.118317852351118e-08
210,210.0,0.1370354,-8.118317852351118e-08
211,211.0,0.1370354,-8.118317852351118e-08
212,212.0,0.1370354,-8.118317852351118e-08
213,213.0,0.1370354,-8.118317852351118e-08
214,214.0,0.1370354,-8.118317852351118e-08
215,215.0,0.1370354,-8.118317852351118e-08
216,216.0,0.1370354,-8.118317852351118e-08
217,217.0,0.1370354,-8.118317852351118e-08
218,218.0,0.1370354,-8.118317852351118e-08
219,219.0,0.1370354,-8.118317852351118e-08
220,220.0,0.1370354,-8.118317852351118e-08
221,221.0,0.1370354,-8.118317852351118e-08
222,222.0,0.1370354,-8.118317852351118e-08
223,223.0,0.1370354,-8.118317852351118e-08
224,224.0,0.1370354,-8.118317852351118e-08
225,225.0,0.1370354,-8.118317852351118e-08
226,226.0,0.1370354,-8.118317852351118e-08
227,227.0,0.1370354,-8.118317852351118e-08
228,228.0,0.1370354,-8.118317852351118e-08
229,229.0,0.1370354,-8.118317852351118e-08
230,230.0,0.1370354,-8.118317852351118e-08
231,231.0,0.1370354,-8.118317852351118e-08
232,232.0,0.1370354,-8.118317852351118e-08
233,233.0,0.1370354,-8.118317852351118e-08
234,234.0,0.1370354,-8.118317852351118e-08
235,235.0,0.1370354,-8.118317852351118e-08
236,236.0,0.1370354,-8.118317852351118e-08
237,237.0,0.1370354,-8.118317852351118e-08
238,238.0,0.1370354,-8.118317852351118e-08
239,239.0,0.1370354,-8.118317852351118e-08
240,240.0,0.1370354,-8.118317852351118e-08
241,241.0,0.1370354,-8.118317852351118e-08
242,242.0,0.1370354,-8.118317852351118e-08
243,243.0,0.1370354,-8.118317852351118e-08
244,244.0,0.1370354,-8.118317852351118e-08
245,245.0,0.1370354,-8.118317852351118e-08
246,246.0,0.1370354,-8.118317852351118e-08
247,247.0,0.1370354,-8.118317852351118e-08
248,248.0,0.1370354,-8.118317852351118e-08
249,249.0,0.1370354,-8.118317852351118e-08
250,250.0,0.1370354,-8.118317852351118e-08
251,251.0,0.1370354,-8.118317852351118e-08
252,252.0,0.1370354,-8.118317852351118e-08
253,253.0,0.1370354,-8.118317852351118e-08
254,254.0,0.1370354,-8.118317852351118e-08
255,255.0,0.1370354,-8.118317852351118e-08
256,256.0,0.1370354,-8.118317852351118e-08
257,257.0,0.1370354,-8.118317852351118e-08
258,258.0,0.1370354,-8.118317852351118e-08
259,259.0,0.1370354,-8.118317852351118e-08
260,260.0,0.1370354,-8.118317852351118e-08
261,261.0,0.1370354,-8.118317852351118e-08
262,262.0,0.1370354,-8.118317852351118e-08
263,263.0,0.1370354,-8.118317852351118e-08
264,264.0,0.1370354,-8.118317852351118e-08
265,265.0,0.1370354,-8.118317852351118e-08
266,266.0,0.1370354,-8.118317852351118e-08
267,267.0,0.1370354,-8.118317852351118e-08
268,268.0,0.1370354,-8.118317852351118e-08
269,269.0,0.1370354,-8.118317852351118e-08
270,270.0,0.1370354,-8.118317852351118e-08
271,271.0,0.1370354,-8.118317852351118e-08
272,272.0,0.1370354,-8.118317852351118e-08
273,273.0,0.1370354,-8.118317852351118e-08
274,274.0,0.1370354,-8.118317852351118e-08
275,275.0,0.1370354,-8.118317852351118e-08
276,276.0,0.1370354,-8.118317852351118e-08
277,277.0,0.1370354,-8.118317852351118e-08
278,278.0,0.1370354,-8.118317852351118e-08
279,279.0,0.1370354,-8.118317852351118e-08
280,280.0,0.1370354,-8.118317852351118e-08
281,281.0,0.1370354,-8.118317852351118e-08
282,282.0,0.1370354,-8.118317852351118e-08
283,283.0,0.1370354,-8.118317852351118e-08
284,284.0,0.1370354,-8.118317852351118e-08
285,285.0,0.1370354,-8.118317852351118e-08
