,time,e_ActiveBiomass__cytop,EX_C00009__dra,DM_C00369__chlo,DM_C02094__chlo,EX_C00244__dra,DM_C05306__chlo,DM_C05307__chlo,EX_C00011__dra,DM_C00116__cytop,DM_C00404__vacu
25,2.500000000000001,0.298997010096863,-0.0662448586973877,0.0006168097300798508,1.8841597701207078e-06,-1.4472951344335108,0.0007328599910414511,0.0004236184919314746,-16.616517863001015,0.25302777542576443,-0.0008647462405612947
26,2.600000000000001,0.3010127810374607,-0.06679805631102419,0.0006194087453889421,1.960720842722811e-06,-1.4570536120368294,0.0007379810002011708,0.0004265786128330467,-16.666952135444063,0.24956262947021882,-0.0008663125822742659
27,2.700000000000001,0.3029015280335827,-0.06731528667936126,0.0006221386070616255,2.0356707317155117e-06,-1.4661971210229983,0.0007427733708929936,0.0004293487693023084,-16.712407367308032,0.24594276347334199,-0.0008678245192413059
28,2.800000000000001,0.3046686605443524,-0.06779811535768646,0.0006249846816833238,2.1087427845468987e-06,-1.474751859122613,0.0007472524598564665,0.00043193783806732167,-16.753169625211804,0.24218864946990806,-0.0008692830143807983
29,2.9000000000000012,0.3063195238621042,-0.06824808553675166,0.0006279330458165927,2.179688549541439e-06,-1.4827437118743652,0.0007514332142610623,0.0004343544591104406,-16.789513686717996,0.2383190852540039,-0.0008706891709478937
30,3.0000000000000013,0.3078593773449047,-0.06866671236651517,0.0006309705079487712,2.2482786428005753e-06,-1.4901981474182102,0.0007553301434800832,0.0004366070193526492,-16.821703001980424,0.23435133564215965,-0.0008720442037211384
31,3.1000000000000014,0.30929337613188185,-0.06905547821155568,0.0006340846197798557,2.3143032416105585e-06,-1.4971401281407106,0.0007589572984088462,0.00043870364069875504,-16.84998972736267,0.23030125856025466,-0.0008733494138591104
32,3.2000000000000015,0.31062655598177114,-0.06941582874089766,0.000637263678405535,2.3775722372915084e-06,-1.5035940374293886,0.0007623282570085081,0.00044065217168121854,-16.874614820653967,0.2261834180488419,-0.0008746061670943966
33,3.3000000000000016,0.31186382090013903,-0.06974916976196606,0.0006404967208244853,2.4379150849953536e-06,-1.5095836199149424,0.0007654561150047529,0.0004424601820836722,-16.89580818847205,0.2220111859607661,-0.0008758158749388265
34,3.4000000000000017,0.31300993324436,-0.07005686471527582,0.0006437735120697308,2.4951803907964436e-06,-1.5151319336958156,0.00076835348086232,0.00044413496003602306,-16.91378887731001,0.21779683385190318,-0.0008769799785869621
35,3.5000000000000018,-1.9948062779719581e-13,0.0,0.0006470845281343924,2.549235277720779e-06,-1.520261313149742,0.0007710324743088806,0.00044568351116120266,-15.918192083667893,0.21355161633411826,0.0
36,3.600000000000002,-1.9937543933996845e-13,0.0,0.0006365138441162669,1.9243576928537783e-06,-1.445641856262704,0.0007603095871725816,0.00043948531050438244,-15.208848298434647,0.20850045034593756,0.0
37,3.700000000000002,-1.8630113286224042e-13,0.0,0.000626097564539694,1.4776167648245956e-06,-1.3756024619596774,0.0007199030923412914,0.0004161289551105731,-14.541881150630044,0.20364537335488178,0.0
