,time,e_ActiveBiomass__cytop,EX_C00009__dra,DM_C00369__chlo,DM_C02094__chlo,EX_C00244__dra,DM_C05306__chlo,DM_C05307__chlo,EX_C00011__dra,DM_C00116__cytop
50,4.166666666666669,0.13382391231420962,-0.03932560825451951,0.0011324160932221494,1.5167651495214733e-05,-0.647810168482826,0.0003336304165042468,0.00019284995173655882,-9.77927498639826,0.18449095326454124
51,4.250000000000002,0.13379480891554763,-0.03931705590513126,0.0011287978510020145,1.5502189200764497e-05,-0.6476691980403763,0.00033354396367452327,0.0001927999790026146,-9.747583658338945,0.1824291043084147
52,4.333333333333335,0.13376439373450474,-0.039308118074260406,0.0011257514378635054,1.583063158936885e-05,-0.6475218811793599,0.00033345481276611115,0.00019274844668561338,-9.717122149573399,0.18039233322158044
53,4.416666666666668,0.13373258380246758,-0.03929877038068211,0.0011232394352469668,1.61527987335739e-05,-0.6473678164758226,0.0003333627898302769,0.00019269525423715425,-9.687823742294604,0.17838026927152786
54,4.500000000000001,0.133699288940498,-0.039288986324332816,0.0011212263791563499,1.6468522771328277e-05,-0.6472065675009948,0.0003332676868889985,0.00019264028143872746,-9.659624168892694,0.17639251481293755
55,4.583333333333334,0.13366441096555026,-0.03927873705306494,0.001119678673774778,1.677764690763896e-05,-0.6470376590879563,0.0003331692772542855,0.00019258339725681246,-9.632461488168957,0.1744286519131201
56,4.666666666666667,0.13362784278964815,-0.039267991097910765,0.001118564506026801,1.7080024492296357e-05,-0.6468605729617115,0.00033306731181624534,0.00019252445769725164,-9.606275951684154,0.17248824806619212
57,4.75,0.1335894673945298,-0.039256714071788046,0.001117853761355092,1.7375518172012065e-05,-0.646674742780154,0.00033296151719582957,0.00019246330473747373,-9.581009862134923,0.17057086110751962
58,4.833333333333333,0.13354915666149395,-0.0392448683256284,0.0011175179409317962,1.7663999117329343e-05,-0.6464795484724983,0.0003328515932797666,0.0001923997649015992,-9.55660742338644,0.1686760434267798
59,4.916666666666666,0.13350677003194236,-0.03923241255475367,0.0011175300804647237,1.794534632391883e-05,-0.6462743097584898,0.0003327372103969789,0.0001923336476283115,-9.533014581704984,0.16680334556635404
60,4.999999999999999,0.13346215296926103,-0.03921930134691217,0.0011178646707052271,1.8219445987598143e-05,-0.6460582787062701,0.00033261800603171676,0.00019226474337093454,-9.510178857365958,0.16495231928147713
61,5.083333333333332,0.1334151351872501,-0.039205484661655285,0.0011184975797144843,1.8486190952223647e-05,-0.6458306311603135,0.0003324935810047405,0.00019219282139002343,-9.488049165462035,0.16312252012968861
62,5.166666666666665,0.13336552860238746,-0.039190907228598026,0.0011194059768976656,1.8745480229512655e-05,-0.6455904568330595,0.00033236349503257745,0.00019211762718646095,-9.466575624273077,0.16131350964915142
63,5.249999999999998,0.13331312495869316,-0.03917550784946327,0.0011205682587693538,1.8997218589890303e-05,-0.6453367478121403,0.0003322272615538853,0.00019203887951091636,-9.445709349076466,0.15952485717863601
64,5.333333333333331,0.1332576930626022,-0.03915921858551533,0.0011219639763679293,1.9241316223566478e-05,-0.6450683851804495,0.000332084341690854,0.00019195626687332603,-9.425402228664318,0.15775614136581692
65,5.416666666666664,0.13319897555120577,-0.03914196380786744,0.0011235737641900004,1.947768847129601e-05,-0.6447841233781935,0.00033193413718194303,0.00019186944345777053,-9.405606681104555,0.1560069514053663
66,5.499999999999997,0.13313668509950544,-0.03912365908295783,0.0011253792704665842,1.9706255624603256e-05,-0.644482571850442,0.0003317759820858503,0.00019177802432708107,-9.386275384379731,0.15427688804363227
67,5.58333333333333,0.133070499950248,-0.03910420985891816,0.0011273630885488741,1.9926942795721384e-05,-0.644162173416726,0.00033160913300938347,0.00019168157977421008,-9.367360976435034,0.1525655643827073
68,5.666666666666663,0.1330000586208546,-0.0390835099101835,0.0011295086891109762,2.0139679858099845e-05,-0.6438211786589422,0.0003314327575531987,0.00019157962864346746,-9.348815717737272,0.15087260651326512
69,5.7499999999999964,0.132924953606219,-0.03906143948694949,0.0011318003528066074,2.0344401459104648e-05,-0.6434576154505163,0.00033124592059185224,0.00019147163039991459,-9.33059110769942,0.14919765400252474
70,5.8333333333333295,0.13284472384792068,-0.03903786310220297,0.0011342231029332905,2.0541047107510674e-05,-0.6430692525168983,0.0003310475679098921,0.00019135697567045784,-9.31263744399351,0.14754036026121406
71,5.9166666666666625,0.13275884567990362,-0.039012626870989074,0.0011367626375556033,2.072956133963059e-05,-0.6426535556243237,0.0003308365065859085,0.00019123497490514943,-9.294903310857764,0.14590039281135228
