Reaction;Subsystem
HMR_6610;Purine metabolism
HMR_6611;Purine metabolism
HMR_7144;Purine metabolism
HMR_8755;Purine metabolism
HMR_9797;Purine metabolism
HMR_4016;Purine metabolism
HMR_4018;Purine metabolism
HMR_4044;Purine metabolism
HMR_4291;Purine metabolism
HMR_4420;Purine metabolism
HMR_4570;Purine metabolism
HMR_4572;Purine metabolism
HMR_4006;Pyrimidine metabolism
HMR_4028;Pyrimidine metabolism
HMR_4030;Pyrimidine metabolism
HMR_4670;Pyrimidine metabolism
HMR_4673;Pyrimidine metabolism
HMR_4675;Pyrimidine metabolism
HMR_6614;Pyrimidine metabolism
HMR_6615;Pyrimidine metabolism
HMR_6616;Pyrimidine metabolism
HMR_4635;Pyrimidine metabolism
HMR_3793;Pyrimidine metabolism
HMR_3931;Pyrimidine metabolism
HMR_3969;Pyrimidine metabolism
HMR_3970;Pyrimidine metabolism
HMR_4008;Pyrimidine metabolism
HMR_4032;Pyrimidine metabolism
HMR_4034;Pyrimidine metabolism
HMR_4036;Pyrimidine metabolism
HMR_4050;Pyrimidine metabolism
HMR_4056;Pyrimidine metabolism
HMR_4059;Pyrimidine metabolism
HMR_4060;Pyrimidine metabolism
HMR_4127;Pyrimidine metabolism
HMR_4177;Pyrimidine metabolism
HMR_4179;Pyrimidine metabolism
HMR_4182;Pyrimidine metabolism
HMR_4183;Pyrimidine metabolism
HMR_4192;Pyrimidine metabolism
HMR_4194;Pyrimidine metabolism
HMR_4210;Pyrimidine metabolism
HMR_4211;Pyrimidine metabolism
HMR_4343;Pyrimidine metabolism
HMR_4345;Pyrimidine metabolism
HMR_4346;Pyrimidine metabolism
HMR_4470;Pyrimidine metabolism
HMR_4471;Pyrimidine metabolism
HMR_4472;Pyrimidine metabolism
HMR_4484;Pyrimidine metabolism
HMR_4485;Pyrimidine metabolism
HMR_4510;Pyrimidine metabolism
HMR_4512;Pyrimidine metabolism
HMR_4513;Pyrimidine metabolism
HMR_4514;Pyrimidine metabolism
HMR_4577;Pyrimidine metabolism
HMR_4579;Pyrimidine metabolism
HMR_4580;Pyrimidine metabolism
HMR_4608;Pyrimidine metabolism
HMR_4575;Pyrimidine metabolism
HMR_4637;Pyrimidine metabolism
HMR_4642;Pyrimidine metabolism
HMR_4643;Pyrimidine metabolism
HMR_4644;Pyrimidine metabolism
HMR_4672;Pyrimidine metabolism
HMR_4676;Pyrimidine metabolism
HMR_4736;Pyrimidine metabolism
HMR_4819;Pyrimidine metabolism
HMR_5299;Pyrimidine metabolism
HMR_5352;Pyrimidine metabolism
HMR_6612;Pyrimidine metabolism
HMR_6621;Pyrimidine metabolism
HMR_6622;Pyrimidine metabolism
HMR_6623;Pyrimidine metabolism
HMR_6624;Pyrimidine metabolism
HMR_6627;Pyrimidine metabolism
HMR_8072;Pyrimidine metabolism
HMR_3965;Nucleotide metabolism
HMR_3966;Nucleotide metabolism
HMR_3967;Nucleotide metabolism
HMR_3968;Nucleotide metabolism
HMR_3999;Nucleotide metabolism
HMR_4024;Nucleotide metabolism
HMR_4026;Nucleotide metabolism
HMR_4054;Nucleotide metabolism
HMR_4061;Nucleotide metabolism
HMR_4083;Nucleotide metabolism
HMR_4180;Nucleotide metabolism
HMR_4185;Nucleotide metabolism
HMR_4186;Nucleotide metabolism
HMR_4344;Nucleotide metabolism
HMR_4483;Nucleotide metabolism
HMR_4507;Nucleotide metabolism
HMR_4516;Nucleotide metabolism
HMR_4601;Nucleotide metabolism
HMR_4633;Nucleotide metabolism
HMR_4640;Nucleotide metabolism
HMR_4641;Nucleotide metabolism
HMR_4680;Nucleotide metabolism
HMR_4806;Nucleotide metabolism
HMR_5394;Nucleotide metabolism
HMR_6625;Nucleotide metabolism
HMR_6626;Nucleotide metabolism
HMR_7160;Nucleotide metabolism
HMR_7161;Nucleotide metabolism
HMR_7162;Nucleotide metabolism
HMR_7163;Nucleotide metabolism
HMR_7164;Nucleotide metabolism
HMR_7713;Nucleotide metabolism
HMR_7716;Nucleotide metabolism
HMR_7717;Nucleotide metabolism
HMR_7721;Nucleotide metabolism
HMR_7725;Nucleotide metabolism
HMR_7728;Nucleotide metabolism
HMR_7800;Nucleotide metabolism
HMR_7801;Nucleotide metabolism
HMR_7802;Nucleotide metabolism
HMR_7863;Nucleotide metabolism
HMR_7864;Nucleotide metabolism
HMR_7865;Nucleotide metabolism
HMR_7866;Nucleotide metabolism
HMR_7867;Nucleotide metabolism
HMR_7868;Nucleotide metabolism
HMR_7869;Nucleotide metabolism
HMR_7870;Nucleotide metabolism
HMR_7871;Nucleotide metabolism
HMR_7872;Nucleotide metabolism
HMR_7873;Nucleotide metabolism
HMR_7874;Nucleotide metabolism
HMR_7875;Nucleotide metabolism
HMR_7876;Nucleotide metabolism
HMR_7878;Nucleotide metabolism
HMR_7881;Nucleotide metabolism
HMR_7882;Nucleotide metabolism
HMR_7883;Nucleotide metabolism
HMR_7884;Nucleotide metabolism
HMR_7885;Nucleotide metabolism
HMR_7886;Nucleotide metabolism
HMR_7887;Nucleotide metabolism
HMR_7888;Nucleotide metabolism
HMR_7889;Nucleotide metabolism
HMR_7890;Nucleotide metabolism
HMR_7891;Nucleotide metabolism
HMR_7892;Nucleotide metabolism
HMR_7893;Nucleotide metabolism
HMR_8083;Nucleotide metabolism
HMR_8085;Nucleotide metabolism
HMR_8087;Nucleotide metabolism
HMR_8445;Nucleotide metabolism
HMR_8446;Nucleotide metabolism
HMR_8448;Nucleotide metabolism
HMR_8449;Nucleotide metabolism
HMR_8450;Nucleotide metabolism
HMR_8451;Nucleotide metabolism
HMR_8452;Nucleotide metabolism
HMR_8453;Nucleotide metabolism
HMR_8454;Nucleotide metabolism
HMR_8455;Nucleotide metabolism
HMR_8456;Nucleotide metabolism
HMR_8457;Nucleotide metabolism
HMR_8458;Nucleotide metabolism
HMR_8459;Nucleotide metabolism
HMR_8460;Nucleotide metabolism
HMR_8461;Nucleotide metabolism
HMR_8462;Nucleotide metabolism
HMR_8463;Nucleotide metabolism
HMR_8464;Nucleotide metabolism
HMR_8465;Nucleotide metabolism
HMR_8466;Nucleotide metabolism
HMR_8467;Nucleotide metabolism
HMR_8468;Nucleotide metabolism
HMR_8469;Nucleotide metabolism
HMR_8470;Nucleotide metabolism
HMR_8471;Nucleotide metabolism
HMR_8472;Nucleotide metabolism
HMR_8473;Nucleotide metabolism
HMR_8474;Nucleotide metabolism
HMR_8477;Nucleotide metabolism
HMR_8478;Nucleotide metabolism
HMR_8479;Nucleotide metabolism
HMR_8480;Nucleotide metabolism
HMR_8481;Nucleotide metabolism
HMR_8482;Nucleotide metabolism
HMR_8483;Nucleotide metabolism
HMR_8485;Nucleotide metabolism
HMR_8486;Nucleotide metabolism
HMR_8487;Nucleotide metabolism
HMR_3802;Alanine, aspartate and glutamate metabolism
HMR_3804;Alanine, aspartate and glutamate metabolism
HMR_3811;Alanine, aspartate and glutamate metabolism
HMR_3813;Alanine, aspartate and glutamate metabolism
HMR_3822;Alanine, aspartate and glutamate metabolism
HMR_3827;Alanine, aspartate and glutamate metabolism
HMR_3829;Alanine, aspartate and glutamate metabolism
HMR_3831;Alanine, aspartate and glutamate metabolism
HMR_3862;Alanine, aspartate and glutamate metabolism
HMR_3865;Alanine, aspartate and glutamate metabolism
HMR_3870;Alanine, aspartate and glutamate metabolism
HMR_3873;Alanine, aspartate and glutamate metabolism
HMR_8654;Alanine, aspartate and glutamate metabolism
HMR_3890;Alanine, aspartate and glutamate metabolism
HMR_3892;Alanine, aspartate and glutamate metabolism
HMR_9802;Alanine, aspartate and glutamate metabolism
HMR_3899;Alanine, aspartate and glutamate metabolism
HMR_3903;Alanine, aspartate and glutamate metabolism
HMR_4109;Alanine, aspartate and glutamate metabolism
HMR_4114;Alanine, aspartate and glutamate metabolism
HMR_4115;Alanine, aspartate and glutamate metabolism
HMR_4118;Alanine, aspartate and glutamate metabolism
HMR_4172;Alanine, aspartate and glutamate metabolism
HMR_4196;Alanine, aspartate and glutamate metabolism
HMR_4197;Alanine, aspartate and glutamate metabolism
HMR_4287;Alanine, aspartate and glutamate metabolism
HMR_4690;Alanine, aspartate and glutamate metabolism
HMR_4693;Alanine, aspartate and glutamate metabolism
HMR_6780;Alanine, aspartate and glutamate metabolism
HMR_6969;Alanine, aspartate and glutamate metabolism
HMR_6970;Alanine, aspartate and glutamate metabolism
HMR_7642;Alanine, aspartate and glutamate metabolism
HMR_8626;Alanine, aspartate and glutamate metabolism
HMR_8628;Alanine, aspartate and glutamate metabolism
HMR_3806;Arginine and proline metabolism
HMR_3807;Arginine and proline metabolism
HMR_3809;Arginine and proline metabolism
HMR_3816;Arginine and proline metabolism
HMR_3819;Arginine and proline metabolism
HMR_3820;Arginine and proline metabolism
HMR_3832;Arginine and proline metabolism
HMR_3833;Arginine and proline metabolism
HMR_3835;Arginine and proline metabolism
HMR_3837;Arginine and proline metabolism
HMR_3838;Arginine and proline metabolism
HMR_3895;Arginine and proline metabolism
HMR_3897;Arginine and proline metabolism
HMR_3956;Arginine and proline metabolism
HMR_3993;Arginine and proline metabolism
HMR_4073;Arginine and proline metabolism
HMR_4075;Arginine and proline metabolism
HMR_4077;Arginine and proline metabolism
HMR_4190;Arginine and proline metabolism
HMR_4191;Arginine and proline metabolism
HMR_4212;Arginine and proline metabolism
HMR_4422;Arginine and proline metabolism
HMR_4423;Arginine and proline metabolism
HMR_4424;Arginine and proline metabolism
HMR_4583;Arginine and proline metabolism
HMR_4606;Arginine and proline metabolism
HMR_4607;Arginine and proline metabolism
HMR_4776;Arginine and proline metabolism
HMR_4777;Arginine and proline metabolism
HMR_4778;Arginine and proline metabolism
HMR_4779;Arginine and proline metabolism
HMR_4780;Arginine and proline metabolism
HMR_4781;Arginine and proline metabolism
HMR_4784;Arginine and proline metabolism
HMR_4785;Arginine and proline metabolism
